Name,Latitude,Longitude,pop_buffer_hybrid,ho_size,EI_SubArea,PLN_Cabang,PROVINSI,XY_Source,full_population_2010_Census_BIG_method,distance_to_nearest_line_km,Desa,population_buffer_corrected,SettlementTargetElectrificationRate_2010Census,pop_outside_1kmBuffer,pop
820302002001,-2.084338,125.970322,250,5.27,Sanana&Dofa,Ternate,MALUKU UTARA,BIG_Settlements,1022,0.717016173,8203020020,456,0.45,0,0
820302002002,-2.082326,125.971106,30,5.27,Sanana&Dofa,Ternate,MALUKU UTARA,BIG_Settlements,121,0.478619268,8203020020,0,0,0,0
820302002003,-2.079256,125.97191,29,5.27,Sanana&Dofa,Ternate,MALUKU UTARA,BIG_Settlements,119,0.13080114,8203020020,0,0,0,0
820302002004,-2.0762,125.974231,147,5.27,Sanana&Dofa,Ternate,MALUKU UTARA,BIG_Settlements,603,0.296357654,8203020020,0,0,0,0
820302002101,-2.073948,125.976154,33,5.48,Sanana&Dofa,Ternate,MALUKU UTARA,BIG_Settlements,177,0.621810314,8203020021,177,1,0,0
820302002102,-2.072015,125.97682,10,5.48,Sanana&Dofa,Ternate,MALUKU UTARA,BIG_Settlements,56,0.403447886,8203020021,56,1,0,0
820302002103,-2.06964,125.979527,667,5.48,Sanana&Dofa,Ternate,MALUKU UTARA,BIG_Settlements,3622,0.079327385,8203020021,477,0.13,0,0
820302002201,-2.0655,125.981374,685,4.7,Sanana&Dofa,Ternate,MALUKU UTARA,BIG_Settlements,3427,0.150246335,8203020022,685,0.2,0,0
820302002301,-2.061348,125.981347,301,4.74,Sanana&Dofa,Ternate,MALUKU UTARA,BIG_Settlements,1555,0.206367942,8203020023,301,0.19,0,0
820302002401,-2.058148,125.979462,361,5.11,Sanana&Dofa,Ternate,MALUKU UTARA,BIG_Settlements,2812,0.089067578,8203020024,361,0.13,0,0
820302002501,-2.054564,125.980891,1326,5.43,Sanana&Dofa,Ternate,MALUKU UTARA,BIG_Settlements,4058,0.034300608,8203020025,1326,0.33,0,0
820302002601,-2.054053,125.968802,476,5.37,Sanana&Dofa,Ternate,MALUKU UTARA,BIG_Settlements,1513,1.302865337,8203020026,476,0.31,1513,1513
820302100101,-2.315438,126.022707,20,5.14,Sanana&Dofa,Ternate,MALUKU UTARA,BIG_Settlements,183,0.032678436,8203021001,45,0.24,0,0
820302100102,-2.314341,126.022523,9,5.14,Sanana&Dofa,Ternate,MALUKU UTARA,BIG_Settlements,77,0.140473609,8203021001,77,1,0,0
