Name,Phase,dist,Demand...Projected.nodal.demand.per.year,Demand..household....Target.household.count,PercentOfNewGridConnections,far.sighted.sequence,CumulativeHousesConnected.qty,Pln_cabang,Metric...System,Ei_subarea,Full_popul,X,Y
820110100901,Pre-Electrified,NA,0,0,NA,NA,NA,Ternate,unelectrified,Halmahera,172,127.499544,1.165234
820110100902,Pre-Electrified,NA,0,0,NA,NA,NA,Ternate,unelectrified,Halmahera,132,127.500497,1.164803
820110101001,Pre-Electrified,NA,0,0,NA,NA,NA,Ternate,unelectrified,Halmahera,138,127.49966,1.167525
820110101002,Pre-Electrified,NA,0,0,NA,NA,NA,Ternate,unelectrified,Halmahera,236,127.500498,1.167135
820110101101,Pre-Electrified,NA,0,0,NA,NA,NA,Ternate,unelectrified,Halmahera,95,127.499607,1.169736
820110101102,Pre-Electrified,NA,0,0,NA,NA,NA,Ternate,unelectrified,Halmahera,118,127.500489,1.169695
820110101201,Pre-Electrified,NA,0,0,NA,NA,NA,Ternate,unelectrified,Halmahera,117,127.499571,1.172694
820110101202,Pre-Electrified,NA,0,0,NA,NA,NA,Ternate,unelectrified,Halmahera,145,127.500528,1.172556
820110101301,Pre-Electrified,NA,0,0,NA,NA,NA,Ternate,unelectrified,Halmahera,169,127.499081,1.176682
820110101302,Pre-Electrified,NA,0,0,NA,NA,NA,Ternate,unelectrified,Halmahera,95,127.500489,1.176487
820110101401,Pre-Electrified,NA,0,0,NA,NA,NA,Ternate,unelectrified,Halmahera,47,127.499535,1.179171
820110101402,Pre-Electrified,NA,0,0,NA,NA,NA,Ternate,unelectrified,Halmahera,234,127.505855,1.184551
820110101403,Pre-Electrified,NA,0,0,NA,NA,NA,Ternate,unelectrified,Halmahera,121,127.500756,1.179773
820110101501,Pre-Electrified,NA,0,0,NA,NA,NA,Ternate,unelectrified,Halmahera,514,127.530996,1.205188
820110101601,Pre-Electrified,NA,0,0,NA,NA,NA,Ternate,unelectrified,Halmahera,1040,127.537358,1.230612
820113001201,Pre-Electrified,NA,0,0,NA,NA,NA,Ternate,unelectrified,Halmahera,468,127.548254,1.456429
820113001301,Pre-Electrified,NA,0,0,NA,NA,NA,Ternate,unelectrified,Halmahera,800,127.545799,1.463976
820113001401,Pre-Electrified,NA,0,0,NA,NA,NA,Ternate,unelectrified,Halmahera,134,127.543859,1.476333
820113001402,Pre-Electrified,NA,0,0,NA,NA,NA,Ternate,unelectrified,Halmahera,251,127.543832,1.473424
820113001501,Pre-Electrified,NA,0,0,NA,NA,NA,Ternate,unelectrified,Halmahera,679,127.572918,1.483949
820113001502,Pre-Electrified,NA,0,0,NA,NA,NA,Ternate,unelectrified,Halmahera,27,127.569621,1.487662
820113001601,Pre-Electrified,NA,0,0,NA,NA,NA,Ternate,unelectrified,Halmahera,461,127.568441,1.487318
820113001701,Pre-Electrified,NA,0,0,NA,NA,NA,Ternate,unelectrified,Halmahera,1049,127.560051,1.495472
820113001801,Pre-Electrified,NA,0,0,NA,NA,NA,Ternate,unelectrified,Halmahera,714,127.553716,1.492387
820113001901,Pre-Electrified,NA,0,0,NA,NA,NA,Ternate,unelectrified,Halmahera,1030,127.554957,1.498385
820113001902,Pre-Electrified,NA,0,0,NA,NA,NA,Ternate,unelectrified,Halmahera,36,127.554227,1.495023
820113001903,Pre-Electrified,NA,0,0,NA,NA,NA,Ternate,unelectrified,Halmahera,22,127.555809,1.500955
