Name,Phase,dist,Demand...Projected.nodal.demand.per.year,Demand..household....Target.household.count,PercentOfNewGridConnections,far.sighted.sequence,CumulativeHousesConnected.qty,Pln_cabang,Metric...System,Ei_subarea,Full_popul,X,Y
820203300502,2,4941.7249926751,128250,125,0.526778036391988,297,45944,Ternate,grid,Halmahera,436,127.884515,0.521944
820203300601,2,1795.06020628205,90288,88,0.527787013999564,298,46032,Ternate,grid,Halmahera,335,127.885921,0.538026
820203300701,2,317.184329434639,30780,30,0.52901383904514,300,46139,Ternate,grid,Halmahera,68,127.874229,0.551454
820203300702,2,1852.70626118816,79002,77,0.528669869406194,299,46109,Ternate,grid,Halmahera,178,127.873204,0.548792
820204100101,MiniGrid Systems,NA,113886,111,NA,NA,NA,Ternate,mini-grid,Halmahera,500,129.571273,-0.198012
820204100201,MiniGrid Systems,NA,108756,106,NA,NA,NA,Ternate,mini-grid,Halmahera,453,129.464936,-0.088217
820204100301,MiniGrid Systems,NA,226746,221,NA,NA,NA,Ternate,mini-grid,Halmahera,738,129.43595,-0.080714
820204100401,MiniGrid Systems,NA,72846,71,NA,NA,NA,Ternate,mini-grid,Halmahera,400,129.43419,-0.057688
820204100402,MiniGrid Systems,NA,23598,23,NA,NA,NA,Ternate,mini-grid,Halmahera,129,129.430798,-0.066663
820204100403,MiniGrid Systems,NA,7182,7,NA,NA,NA,Ternate,mini-grid,Halmahera,37,129.431997,-0.069352
820204100404,MiniGrid Systems,NA,5130,5,NA,NA,NA,Ternate,mini-grid,Halmahera,26,129.397494,-0.070193
820204100405,MiniGrid Systems,NA,123120,120,NA,NA,NA,Ternate,mini-grid,Halmahera,682,129.430827,-0.074266
820204100406,MiniGrid Systems,NA,153900,150,NA,NA,NA,Ternate,mini-grid,Halmahera,851,129.438345,-0.07703
820204100501,MiniGrid Systems,NA,146718,143,NA,NA,NA,Ternate,mini-grid,Halmahera,599,129.599377,-0.056722
820204100601,MiniGrid Systems,NA,81054,79,NA,NA,NA,Ternate,mini-grid,Halmahera,297,129.531834,-0.121505
820204200101,Pre-Electrified,NA,0,0,NA,NA,NA,Ternate,unelectrified,Halmahera,882,128.774999,0.277651
820204200201,Pre-Electrified,NA,0,0,NA,NA,NA,Ternate,unelectrified,Halmahera,678,128.767367,0.278348
820204200501,Pre-Electrified,NA,0,0,NA,NA,NA,Ternate,unelectrified,Halmahera,825,128.762986,0.279565
820204201001,Pre-Electrified,NA,0,0,NA,NA,NA,Ternate,unelectrified,Halmahera,1023,128.759073,0.281334
820204201101,1,1296.60375495288,93366,91,0.208422669892338,74,18178,Ternate,grid,Halmahera,569,128.777793,0.275902
820204300101,Pre-Electrified,NA,0,0,NA,NA,NA,Ternate,unelectrified,Halmahera,62,128.753037,0.317388
820204300102,Pre-Electrified,NA,0,0,NA,NA,NA,Ternate,unelectrified,Halmahera,1788,128.760916,0.316374
820204300201,Pre-Electrified,NA,0,0,NA,NA,NA,Ternate,unelectrified,Halmahera,971,128.74693,0.318266
820204300202,Pre-Electrified,NA,0,0,NA,NA,NA,Ternate,unelectrified,Halmahera,463,128.751624,0.318087
820204300301,3,3736.6861641734,35910,35,0.928316727243542,576,80965,Ternate,grid,Halmahera,186,128.682034,0.43254
820204300302,2,853.387264399828,130302,127,0.549502963871722,313,47926,Ternate,grid,Halmahera,681,128.681338,0.39575
820204300401,2,8574.70276680381,154926,151,0.548046825733515,312,47799,Ternate,grid,Halmahera,647,128.679173,0.388387
820204300501,3,5739.99632216704,143640,140,0.930277354185537,579,81136,Ternate,grid,Halmahera,643,128.669315,0.48863
820204300502,3,713.606680956852,24624,24,0.92867216253712,578,80996,Ternate,grid,Halmahera,107,128.684885,0.439413
820204300503,3,114.125240997969,7182,7,0.928396986825963,577,80972,Ternate,grid,Halmahera,32,128.682495,0.433457
820204300601,Pre-Electrified,NA,0,0,NA,NA,NA,Ternate,unelectrified,Halmahera,859,128.767798,0.31801
820204300701,Pre-Electrified,NA,0,0,NA,NA,NA,Ternate,unelectrified,Halmahera,1428,128.742968,0.320488
820204300801,Pre-Electrified,NA,0,0,NA,NA,NA,Ternate,unelectrified,Halmahera,436,128.728075,0.325862
820204300901,MiniGrid Systems,NA,56430,55,NA,NA,NA,Ternate,mini-grid,Halmahera,163,128.678712,0.335709
820204301001,2,424.512086222575,121068,118,0.612529667381359,356,53423,Ternate,grid,Halmahera,695,128.6834,0.398963
820204400101,2,13714.873886828,179550,175,0.551509453432244,314,48101,Ternate,grid,Halmahera,822,128.577162,0.319054
820204400201,2,660.24966860753,179550,175,0.553515942992765,315,48276,Ternate,grid,Halmahera,621,128.571357,0.320303
820204400301,2,319.18354764896,267786,261,0.5565084788516,316,48537,Ternate,grid,Halmahera,1155,128.568487,0.320248
820204400401,2,5637.93365099026,158004,154,0.594471261336666,344,51848,Ternate,grid,Halmahera,705,128.523116,0.342883
820204400501,2,2679.22959175952,102600,100,0.595617826799821,345,51948,Ternate,grid,Halmahera,426,128.502165,0.354784
820301000401,Pre-Electrified,NA,0,0,NA,NA,NA,Ternate,unelectrified,Sanana&Dofa,1156,125.919245,-2.263234
820301000501,1,1098.23365373686,65664,64,0.106745244619742,29,9310,Ternate,grid,Sanana&Dofa,314,125.88403,-2.185961
820301000502,Pre-Electrified,NA,0,0,NA,NA,NA,Ternate,unelectrified,Sanana&Dofa,84,125.89339,-2.18147
