"Name","Latitude","Longitude","pop_buffer_hybrid","ho_size","EI_SubArea","PLN_Cabang","PROVINSI","XY_Source","full_population_2010_Census_BIG_method","distance_to_nearest_line_km","Desa","population_buffer_corrected","SettlementTargetElectrificationRate_2010Census","pop_outside_1kmBuffer","pop"
530201001001,-9.696165,119.868114,131,5.72,"AreaSumba","AreaSumba","NUSA TENGGARA TIMUR","BIG_Settlements",266,0.456079574,5302010010,266,1,0,0
530201001002,-9.708592,119.888983,1001,5.72,"AreaSumba","AreaSumba","NUSA TENGGARA TIMUR","BIG_Settlements",2037,0.294752069,5302010010,1929,0.95,0,0
530201001003,-9.699504,119.878342,222,5.72,"AreaSumba","AreaSumba","NUSA TENGGARA TIMUR","BIG_Settlements",451,0.056988307,5302010010,0,0,0,0
530201001004,-9.698596,119.879455,66,5.72,"AreaSumba","AreaSumba","NUSA TENGGARA TIMUR","BIG_Settlements",134,0.114302784,5302010010,0,0,0,0
530201001005,-9.698712,119.88106,61,5.72,"AreaSumba","AreaSumba","NUSA TENGGARA TIMUR","BIG_Settlements",124,0.25482869,5302010010,0,0,0,0
530201001006,-9.704722,119.884156,80,5.72,"AreaSumba","AreaSumba","NUSA TENGGARA TIMUR","BIG_Settlements",162,0.242625887,5302010010,0,0,0,0
530201001007,-9.709907,119.886651,45,5.72,"AreaSumba","AreaSumba","NUSA TENGGARA TIMUR","BIG_Settlements",92,0.512630191,5302010010,92,1,0,0
530201001008,-9.702003,119.880478,683,5.72,"AreaSumba","AreaSumba","NUSA TENGGARA TIMUR","BIG_Settlements",1389,0.182494701,5302010010,0,0,0,0
530201001101,-9.729406,119.874999,0,5.23,"AreaSumba","AreaSumba","NUSA TENGGARA TIMUR","BIG_Settlements",0,2.93850674,5302010011,0,0,0,0
530201001102,-9.729032,119.875977,1761,5.23,"AreaSumba","AreaSumba","NUSA TENGGARA TIMUR","BIG_Settlements",2101,2.856911639,5302010011,1761,0.84,2101,2101
530201001401,-9.692223,119.864109,872,5.61,"AreaSumba","AreaSumba","NUSA TENGGARA TIMUR","BIG_Settlements",1096,0.9542827,5302010014,507,0.46,0,0
530201001402,-9.694938,119.86178,528,5.61,"AreaSumba","AreaSumba","NUSA TENGGARA TIMUR","BIG_Settlements",663,1.14432523,5302010014,663,1,663,663
530201001403,-9.696433,119.856501,895,5.61,"AreaSumba","AreaSumba","NUSA TENGGARA TIMUR","BIG_Settlements",1125,1.726319,5302010014,1125,1,1125,1125
530201001501,-9.646046,119.894991,1350,4.84,"AreaSumba","AreaSumba","NUSA TENGGARA TIMUR","BIG_Settlements",1350,5.996132843,5302010015,1350,1,1350,1350
530201001799,-9.70903813429594,119.91917585357,1327,5.12,"AreaSumba","AreaSumba","NUSA TENGGARA TIMUR","BPS_Centroids",1412,0.740116854,5302010017,1327,0.94,0,0
530201001899,-9.62530016094205,119.949567551091,857,5.01,"AreaSumba","AreaSumba","NUSA TENGGARA TIMUR","BPS_Centroids",857,10.07125681,5302010018,857,1,857,857
530201001901,-9.625648,119.864859,546,4.3,"AreaSumba","AreaSumba","NUSA TENGGARA TIMUR","BIG_Settlements",546,7.743824048,5302010019,546,1,546,546
530201100599,-9.76625876043596,120.062094447556,1104,4.91,"AreaSumba","AreaSumba","NUSA TENGGARA TIMUR","BPS_Centroids",1104,6.594187033,5302011005,1104,1,1104,1104
530201100601,-9.71377,120.02981,1182,4.36,"AreaSumba","AreaSumba","NUSA TENGGARA TIMUR","BIG_Settlements",1431,0.064150707,5302011006,1182,0.83,0,0
530201100701,-9.690903,120.027138,1004,4.56,"AreaSumba","AreaSumba","NUSA TENGGARA TIMUR","BIG_Settlements",1022,1.890014187,5302011007,1004,0.98,1022,1022
530201100801,-9.676952,119.991333,570,4.38,"AreaSumba","AreaSumba","NUSA TENGGARA TIMUR","BIG_Settlements",570,5.484389794,5302011008,570,1,570,570
530201100802,-9.678589,119.981584,547,4.38,"AreaSumba","AreaSumba","NUSA TENGGARA TIMUR","BIG_Settlements",547,5.888021011,5302011008,547,1,547,547
530201100803,-9.677867,119.980379,328,4.38,"AreaSumba","AreaSumba","NUSA TENGGARA TIMUR","BIG_Settlements",328,6.030977476,5302011008,328,1,328,328
530201100901,-9.739769,119.959768,1079,4.7,"AreaSumba","AreaSumba","NUSA TENGGARA TIMUR","BIG_Settlements",1079,0.213128365,5302011009,1079,1,0,0
530201100902,-9.741402,119.96207,525,4.7,"AreaSumba","AreaSumba","NUSA TENGGARA TIMUR","BIG_Settlements",525,0.01999564,5302011009,525,1,0,0
530201101099,-9.6383511431934,120.04896214628,546,5.1,"AreaSumba","AreaSumba","NUSA TENGGARA TIMUR","BPS_Centroids",546,7.673285628,5302011010,546,1,546,546
530201101199,-9.73827503957262,120.00155531834,803,5.15,"AreaSumba","AreaSumba","NUSA TENGGARA TIMUR","BPS_Centroids",979,0.617044532,5302011011,803,0.82,0,0
530201101399,-9.8277346516899,120.066378205949,589,4.46,"AreaSumba","AreaSumba","NUSA TENGGARA TIMUR","BPS_Centroids",589,12.6745354,5302011013,589,1,589,589
530201200101,-9.774726,119.765069,670,3.66,"AreaSumba","AreaSumba","NUSA TENGGARA TIMUR","BIG_Settlements",670,14.65979051,5302012001,670,1,670,670
530201200299,-9.845010287868,119.779466411862,865,5.81,"AreaSumba","AreaSumba","NUSA TENGGARA TIMUR","BPS_Centroids",865,19.25187051,5302012002,865,1,865,865
530201200399,-9.70675394272705,119.787550224569,1404,4.88,"AreaSumba","AreaSumba","NUSA TENGGARA TIMUR","BPS_Centroids",1404,9.373296621,5302012003,1404,1,1404,1404
530201200401,-9.754152,119.836418,209,4.27,"AreaSumba","AreaSumba","NUSA TENGGARA TIMUR","BIG_Settlements",272,7.439865654,5302012004,0,0,272,272
530201200402,-9.75745,119.833725,1274,4.27,"AreaSumba","AreaSumba","NUSA TENGGARA TIMUR","BIG_Settlements",1656,7.907800834,5302012004,1483,0.9,1656,1656
530201200599,-9.87987315030404,119.775452083762,642,6.29,"AreaSumba","AreaSumba","NUSA TENGGARA TIMUR","BPS_Centroids",642,22.78168285,5302012005,642,1,642,642
530201200699,-9.75413211569038,119.780198210888,614,4.35,"AreaSumba","AreaSumba","NUSA TENGGARA TIMUR","BPS_Centroids",614,11.99896231,5302012006,614,1,614,614
530201300199,-9.88175510850856,119.867408810392,966,4.15,"AreaSumba","AreaSumba","NUSA TENGGARA TIMUR","BPS_Centroids",966,18.66168115,5302013001,966,1,966,966
